user_id,answer,triplet_id
user_0,2,6520
user_0,0,6352
user_0,0,706
user_0,3,5386
user_0,3,5004
user_0,0,5909
user_0,0,9537
user_0,1,6771
user_0,1,5907
user_0,0,7852
user_0,0,1721
user_0,1,6103
user_0,1,1891
user_0,0,1399
user_0,1,176
user_0,1,2932
user_0,0,9097
user_0,0,9349
user_0,0,5658
user_0,0,1242
user_0,0,8869
user_0,0,1937
user_0,0,2560
user_0,1,4550
user_0,1,1410
user_0,1,4335
user_0,0,2357
user_0,0,2224
user_0,1,3444
user_0,1,8780
user_0,1,1589
user_0,0,8121
user_0,0,4618
user_0,0,2537
user_0,0,2455
user_0,3,2353
user_0,0,5811
user_0,1,1225
user_1,0,805
user_1,1,9202
user_1,0,6668
user_1,0,1676
user_1,0,3179
user_0,0,7552
user_1,1,2032
user_1,0,3466
user_1,1,2701
user_1,0,914
user_1,0,7452
user_1,1,4462
user_1,1,642
user_1,2,3097
user_1,1,4930
user_2,0,3239
user_2,1,802
user_3,1,2604
user_2,0,7501
user_3,0,8025
user_3,0,6159
user_2,1,6692
user_2,3,642
user_2,0,2438
user_2,1,3619
user_3,1,8847
user_3,0,6995
user_3,0,5573
user_2,0,1151
user_3,0,2572
user_3,1,4618
user_2,0,5591
user_3,1,7612
user_3,0,938
user_2,1,4764
user_2,1,5635
user_2,0,1413
user_3,1,110
user_3,1,4053
user_3,0,3729
user_3,1,4987
user_3,0,4270
user_2,1,7997
user_3,1,7234
user_3,1,2307
user_3,0,2062
user_2,1,165
user_3,1,7859
user_3,1,2046
user_3,0,9510
user_3,1,7042
user_2,1,3223
user_3,1,9632
user_3,0,5116
user_3,1,341
user_2,3,3629
user_2,1,6451
user_2,0,7523
user_3,0,3251
user_2,0,7732
user_3,1,135
user_2,1,1094
user_3,0,4415
user_2,0,4585
user_2,1,163
user_2,0,841
user_3,0,4114
user_3,0,7311
user_2,3,4799
user_2,0,4595
user_3,1,8448
user_3,0,8510
user_4,1,3902
user_3,0,8134
user_4,1,4
user_2,1,7970
user_3,1,3843
user_4,0,2046
user_4,0,2048
user_3,3,1006
user_4,1,8463
user_3,3,1852
user_3,0,1734
user_4,1,981
user_3,1,4550
user_4,1,4920
user_4,0,6213
user_4,2,1411
user_4,0,3926
user_3,1,9454
user_3,1,2236
user_2,3,6343
user_2,1,9970
user_2,0,1392
user_4,3,4812
user_4,2,1949
user_4,1,5212
user_4,0,6683
user_4,2,5991
user_4,0,914
user_4,1,6986
user_4,1,9871
user_4,1,692
user_2,0,9726
user_2,3,8680
user_2,1,5948
user_4,3,5474
user_4,1,1841
user_4,1,4649
user_4,2,1482
user_4,1,2551
user_4,0,939
user_4,0,2398
user_4,0,560
user_4,0,6912
user_4,0,3025
user_4,1,9827
user_4,2,9661
user_4,0,1279
user_4,2,4197
user_4,1,5222
user_4,1,8823
user_2,0,9713
user_4,3,9841
user_4,2,9218
user_4,0,8647
user_2,3,7991
user_2,3,7481
user_4,3,490
user_4,0,8860
user_4,0,8874
user_2,0,4976
user_4,1,7397
user_4,2,1686
user_2,1,4221
user_4,2,110
user_4,2,9172
user_4,3,112
user_2,1,9261
user_2,3,9682
user_2,3,5295
user_2,0,7817
user_2,0,3976
user_2,1,7178
user_2,3,2011
user_2,1,5159
user_2,1,3837
user_2,3,8304
user_2,1,1828
user_2,1,1196
user_2,1,9770
user_2,0,8209
user_2,1,3413
user_2,1,981
user_2,0,2980
user_2,0,9814
user_2,1,1924
user_2,0,350
user_2,3,8934
user_2,0,8068
user_2,0,4020
user_2,1,2032
user_2,0,7254
user_2,0,8782
user_2,0,7560
user_2,0,8069
user_2,0,2114
user_2,0,6697
user_2,1,6696
user_5,2,3574
user_5,0,707
user_5,0,1970
user_5,2,9145
user_5,2,7967
user_5,1,932
user_5,1,9332
user_5,1,1837
user_5,1,7097
user_5,2,493
user_5,0,6860
user_5,2,1135
user_6,1,1395
user_6,1,7679
user_6,0,7771
user_6,1,1924
user_6,1,910
user_6,2,6251
user_6,1,5170
user_6,1,7341
user_6,0,9396
user_6,0,7930
user_6,0,7292
user_6,1,6309
user_6,0,914
user_6,0,6087
user_6,0,918
user_6,2,284
user_6,2,767
user_6,1,7817
user_6,1,4920
user_6,2,1072
user_6,2,3000
user_6,1,553
user_6,2,9099
user_6,2,1978
user_6,0,1714
user_6,0,183
user_6,1,2572
user_6,1,4268
user_6,1,4803
user_6,0,2604
user_6,0,5239
user_6,0,2277
user_6,2,8741
user_6,0,96
user_6,1,1289
user_6,0,7347
user_6,2,6154
user_6,1,174
user_6,3,5368
user_6,0,4960
user_6,0,4306
user_6,3,595
user_6,1,8664
user_6,0,4999
user_6,0,4292
user_6,0,5300
user_6,1,4851
user_6,0,8526
user_6,1,9344
user_6,0,6213
user_6,1,9349
user_6,3,1881
user_6,1,3570
user_6,0,4976
user_6,1,7306
user_6,3,19
user_6,0,2789
user_6,0,5909
user_6,1,4672
user_6,1,9964
user_6,0,5572
user_6,1,2580
user_6,2,3372
user_6,0,2258
user_6,0,5139
user_6,0,1374
user_6,0,3461
user_6,0,9408
user_6,0,3251
user_6,3,6586
user_6,1,938
user_6,2,341
user_7,0,8475
user_7,0,4882
user_7,1,162
user_7,0,1043
user_7,1,5955
user_7,0,613
user_7,1,9005
user_7,3,6162
user_7,3,7782
user_7,1,163
user_7,0,3143
user_7,0,1890
user_5,0,9607
user_5,1,6859
user_5,0,4990
user_5,1,204
user_5,1,3843
user_5,2,9172
user_5,3,4818
user_5,2,800
user_5,0,4771
user_5,1,2835
user_5,2,8312
user_5,2,2715
user_5,0,8744
user_5,2,520
user_5,0,4338
user_5,2,3377
user_5,1,3464
user_5,0,6156
user_5,0,7678
user_5,2,7409
user_7,1,10000
user_7,1,1047
user_7,1,6693
user_7,1,4750
user_7,1,3659
user_7,2,5116
user_7,1,3692
user_7,0,9303
user_7,1,1373
user_7,1,4550
user_7,1,1978
user_7,1,3360
user_7,1,707
user_7,0,51
user_7,0,150
user_7,0,131
user_7,0,8823
user_7,0,9937
user_7,0,4853
user_7,3,7652
user_7,0,6683
user_7,0,3422
user_7,0,9882
user_7,0,3565
user_7,1,1397
user_7,1,7397
user_7,2,560
user_7,0,7308
user_7,1,2269
user_7,1,3273
user_7,2,6154
user_7,1,939
user_7,2,7311
user_8,0,6692
user_8,0,6417
user_8,0,679
user_8,1,4550
user_8,0,836
user_8,0,1741
user_8,0,5299
user_8,0,7652
user_8,0,42
user_8,0,3588
user_8,1,7679
user_8,0,9537
user_8,1,6397
user_0,0,9566
user_0,0,2062
user_0,1,7605
user_8,0,1846
user_8,0,2092
user_8,1,8293
user_8,1,2932
user_8,1,1031
user_8,1,9386
user_8,1,530
user_8,1,7064
user_8,1,1121
user_8,0,6957
user_8,0,4832
user_8,1,174
user_8,1,8860
user_8,0,6986
user_8,1,525
user_8,1,1193
user_8,0,7771
user_8,0,4166
user_8,1,4114
user_8,1,1216
user_8,0,8164
user_8,0,3239
user_8,0,9821
user_8,0,7851
user_8,0,3840
user_8,0,7400
user_8,0,351
user_8,1,2373
user_8,0,2713
user_8,0,4235
user_8,1,5758
user_9,1,5984
user_8,0,8288
user_8,1,9560
user_8,0,1005
user_8,0,6161
user_8,1,5708
user_8,1,5132
user_8,1,7220
user_8,1,5033
user_9,3,2181
user_8,1,8646
user_9,0,7311
user_8,0,9566
user_9,1,9454
user_9,1,7214
user_8,0,2738
user_8,1,1930
user_9,1,6170
user_9,2,9116
user_8,0,365
user_9,3,8847
user_9,0,406
user_8,1,6769
user_8,0,6507
user_8,0,7802
user_8,0,9713
user_8,0,988
user_8,0,2106
user_8,1,7829
user_8,1,1473
user_8,1,6089
user_8,1,1374
user_8,0,8934
user_8,0,7033
user_8,0,249
user_9,3,1788
user_8,0,7311
user_8,0,3410
user_8,1,6952
user_8,0,3682
user_8,1,1687
user_9,1,2267
user_9,0,2455
user_8,0,9077
user_8,1,2915
user_8,1,8917
user_8,0,9432
user_8,0,8251
user_8,1,176
user_8,0,3307
user_8,0,9260
user_9,1,7556
user_9,1,7208
user_9,1,1687
user_8,1,5163
user_8,1,8366
user_8,1,94
user_9,1,158
user_8,0,3
user_8,1,8624
user_8,0,8913
user_8,1,1343
user_8,1,3400
user_9,1,8331
user_9,0,7000
user_8,0,2272
user_8,0,4799
user_9,2,1645
user_9,1,2961
user_8,1,6079
user_8,0,9399
user_8,1,1720
user_9,2,7132
user_9,0,8206
user_8,1,7849
user_8,0,7588
user_9,0,1791
user_9,1,1692
user_8,1,7605
user_8,0,7859
user_9,1,8581
user_9,0,6323
user_8,1,4247
user_8,1,3935
user_8,1,4678
user_9,0,6465
user_8,2,6059
user_8,0,4339
user_8,1,6673
user_8,1,6154
user_8,1,7292
user_8,2,397
user_8,1,7479
user_8,0,3489
user_8,0,6752
user_8,0,2942
user_8,1,932
user_8,0,5473
user_8,1,2177
user_8,0,7818
user_8,1,8603
user_8,1,2339
user_8,0,9829
user_8,0,591
user_8,0,7246
user_8,0,4347
user_8,1,3751
user_8,0,815
user_8,0,3615
user_8,1,516
user_8,0,3721
user_8,1,1424
user_8,0,8134
user_8,0,3680
user_9,0,2602
user_8,1,3457
user_8,1,1666
user_8,0,1718
user_8,1,3778
user_8,0,6617
user_8,0,260
user_8,1,6163
user_8,1,962
user_9,1,6432
user_8,1,5008
user_8,0,8095
user_8,0,8971
user_8,0,8025
user_8,1,5575
user_8,0,5209
user_8,0,780
user_8,1,1608
user_8,1,9495
user_8,2,631
user_8,0,9682
user_8,2,9411
user_8,1,1865
user_9,3,7933
user_9,0,2114
user_8,2,6586
user_8,1,7426
user_8,0,4250
user_8,0,1305
user_9,0,5948
user_8,0,800
user_8,0,8937
user_8,0,2019
user_8,0,8724
user_8,0,3574
